k,mu,normalize_H,init,save_dir,modularity_mean_argmax_mean,modularity_mean_argmax_std,stability_argmax_mean_nmi,stability_argmax_std_nmi,conductance_mean_argmax_mean,conductance_mean_argmax_std,linkpred_auc_first_layer_mean,linkpred_auc_first_layer_std,runtime_sec,returncode
50,1e-06,True,louvain,grid_results\k50_mu1e-06_norm1_initlouvain,0.789292027007233,0.01935417446588812,0.91602353498836697,0.03458431269776724,0.2886050268869995,0.03104026677659564,0.9241958634794074,0.008612803242939268,349.52,0
50,1e-06,True,random,grid_results\k50_mu1e-06_norm1_initrandom,0.71323650899822775,0.11143318518092185,0.93645040218208485,0.06958229074857974,0.2267614733803995,0.05723417581379501,0.9092144615553215,0.06122649214793324,169.58,0
50,0.0001,False,louvain,grid_results\k50_mu0.0001_norm0_initlouvain,0.6982693517636365,0.03289100385591444,0.9005340594242007,0.023124268670458966,0.2579376583500703,0.011463492790021486,0.9575843686174521,0.0010135199387167118,526.43,0
50,0.0001,False,random,grid_results\k50_mu0.0001_norm0_initrandom,0.71693390655372733,0.01266045758744911,0.9331596532048112,0.0329019248914063,0.2954032903546924,0.011207841019380892,0.9522877784529541,0.0031845609905390743,362.15,0
50,0.0001,True,louvain,grid_results\k50_mu0.0001_norm1_initlouvain,0.7894403988771773,0.01702770884213651,0.9269898290838637,0.02830420157780705,0.2067420215311961,0.017600265998051094,0.9224570859311813,0.004352577547924528,375.25,0
50,0.0001,True,random,grid_results\k50_mu0.0001_norm1_initrandom,0.7883369703747372,0.1266192223552434,0.9169551880897067,0.07552162375706127,0.2419358209238779,0.0636937375033648,0.8942597621281786,0.06990287200833338,169.76,0
50,0.01,False,louvain,grid_results\k50_mu0.01_norm0_initlouvain,0.77650529699326487,0.027888200043453243,0.9453198831347299,0.026925215401971524,0.2648882777008259,0.012860775532771174,0.9603668442868853,0.001264411510774975,602.79,0
50,0.01,False,random,grid_results\k50_mu0.01_norm0_initrandom,0.7721509920959639,0.01843538773106948,0.8836995687759288,0.029077912815939903,0.2626224985051369,0.012708002878428682,0.9414989443418754,0.0048467749406966186,466.03,0
50,0.01,True,louvain,grid_results\k50_mu0.01_norm1_initlouvain,0.81945575577665197,0.06302470499298347,0.9497881295650347,0.03880089877641945,0.2418018975095659,0.02594460718245791,0.9358987873837362,0.022357075522962584,600.47,0
50,0.01,True,random,grid_results\k50_mu0.01_norm1_initrandom,0.80956583851447547,0.013370922430241945,0.830058011748503,0.03657369855867229,0.2895036042027049,0.010039256717510894,0.9494707910853153,0.004891371206416872,438.16,0
